,0
0,48.193497
1,48.32074
2,48.44788
3,48.575684
4,48.706776
5,48.839478
6,48.97443
7,49.109436
8,49.245358
9,49.382484
10,49.519524
11,49.653404
12,49.78546
13,49.915035
14,50.04207
15,50.164
16,50.278046
17,50.38466
18,50.48917
19,50.58775
20,50.682228
21,50.771362
22,50.860123
23,50.942287
24,51.021835
25,51.101963
26,51.186153
27,51.276985
28,51.371002
29,51.46388
30,51.55314
31,51.644543
32,51.737305
33,51.833584
34,51.93007
35,52.028263
36,52.12892
37,52.237305
38,52.345123
39,52.449665
40,52.551247
41,52.645344
42,52.73993
43,52.834198
44,52.928734
45,53.02326
46,53.12287
47,53.225037
48,53.332344
49,53.43403
50,53.535805
51,53.647396
52,53.76384
53,53.880367
54,53.99473
55,54.106842
56,54.227104
57,54.34602
58,54.46506
59,54.579254
60,54.6905
61,54.79835
62,54.901676
63,54.99842
64,55.090538
65,55.172523
66,55.251514
67,55.324398
68,55.395756
69,55.458904
70,55.520794
71,55.58361
72,55.649853
73,55.717464
74,55.791786
75,55.871544
76,55.956123
77,56.043026
78,56.134716
79,56.234715
80,56.341236
81,56.46046
82,56.581493
83,56.704945
84,56.8274
85,56.94775
86,57.06595
87,57.179024
88,57.28679
89,57.38579
90,57.4846
91,57.580353
92,57.676964
93,57.76683
94,57.860962
95,57.959183
96,58.061348
97,58.1663
98,58.27378
99,58.38309
100,58.495
101,58.609634
102,58.728104
103,58.850784
104,58.97295
105,59.104073
106,59.235493
107,59.364456
108,59.489254
109,59.60854
110,59.72249
111,59.82619
112,59.92025
113,60.002045
114,60.078976
115,60.145947
116,60.210117
117,60.264294
118,60.3171
119,60.371643
120,60.434258
121,60.501606
122,60.57639
123,60.655647
124,60.73659
125,60.82182
126,60.911728
127,61.00694
128,61.1007
129,61.206573
130,61.31531
131,61.426434
132,61.53255
133,61.630627
134,61.72423
135,61.812996
136,61.898
137,61.974422
138,62.049786
139,62.123604
140,62.19989
141,62.26889
142,62.344124
143,62.41977
144,62.498344
145,62.58137
146,62.671955
147,62.77224
148,62.88326
149,63.002804
150,63.127052
151,63.257736
152,63.392593
153,63.539402
154,63.684895
155,63.826157
156,63.962967
157,64.089714
158,64.20843
159,64.315704
160,64.41201
161,64.49381
162,64.56553
163,64.633484
164,64.70811
165,64.7772
166,64.84869
167,64.9204
168,64.99779
169,65.07866
170,65.16625
171,65.26162
172,65.36562
173,65.47799
174,65.5963
175,65.727974
176,65.86548
177,66.01962
178,66.17891
179,66.339035
180,66.49782
181,66.65255
182,66.80373
183,66.95187
184,67.0978
185,67.233795
186,67.371506
187,67.50784
188,67.64991
189,67.786545
190,67.93093
191,68.082344
192,68.23916
193,68.403404
194,68.579445
195,68.76449
196,68.95376
197,69.14254
198,69.336006
199,69.535805
200,69.738754
201,69.9512
202,70.161194
203,70.36454
204,70.563866
205,70.75157
206,70.929634
207,71.09661
208,71.25323
209,71.39658
210,71.532486
211,71.65599
212,71.77496
213,71.874176
214,71.971954
215,72.063965
216,72.15571
217,72.25128
218,72.35771
219,72.46991
220,72.588554
221,72.71271
222,72.84317
223,72.98418
224,73.1356
225,73.304
226,73.477165
227,73.64899
228,73.81763
229,73.97788
230,74.13119
231,74.27519
232,74.40746
233,74.52427
234,74.63532
235,74.734604
236,74.83428
237,74.922226
238,75.01125
239,75.099625
240,75.190285
241,75.27349
242,75.358604
243,75.45298
244,75.55328
245,75.65712
246,75.77121
247,75.90477
248,76.05195
249,76.21708
250,76.383064
251,76.54732
252,76.70525
253,76.852356
254,76.9888
255,77.11334
256,77.22697
257,77.32415
258,77.413025
259,77.48679
260,77.55565
261,77.61029
262,77.668724
263,77.73122
264,77.79328
265,77.8665
266,77.95451
267,78.05614
268,78.17107
269,78.302986
270,78.449936
271,78.612465
272,78.782234
273,78.97563
274,79.17126
275,79.36499
276,79.54884
277,79.719345
278,79.880905
279,80.03516
280,80.18453
281,80.324905
282,80.46112
283,80.58168
284,80.702065
285,80.80267
286,80.906044
287,81.005165
288,81.102715
289,81.20331
290,81.307686
291,81.42242
292,81.549934
293,81.68751
294,81.83466
295,82.00261
296,82.17553
297,82.36666
298,82.556274
299,82.74092
300,82.918365
301,83.0835
302,83.24239
303,83.39245
304,83.53047
305,83.656456
306,83.77364
307,83.87561
308,83.97626
309,84.05733
310,84.14686
311,84.23493
312,84.32863
313,84.428955
314,84.532036
315,84.644066
316,84.76921
317,84.89723
318,85.03385
319,85.188126
320,85.354485
321,85.53815
322,85.72535
323,85.91446
324,86.10244
325,86.28578
326,86.46337
327,86.627365
328,86.78306
329,86.924385
330,87.06107
331,87.18454
332,87.30376
333,87.40318
334,87.50781
335,87.60979
336,87.71371
337,87.811646
338,87.91939
339,88.03606
340,88.15971
341,88.28872
342,88.42547
343,88.57419
344,88.72857
345,88.89347
346,89.0515
347,89.20226
348,89.34511
349,89.47456
350,89.592384
351,89.69681
352,89.787766
353,89.864044
354,89.93545
355,89.99113
356,90.04456
357,90.08145
358,90.12372
359,90.163216
360,90.21065
361,90.27479
362,90.3485
363,90.43211
364,90.526436
365,90.62868
366,90.733574
367,90.862
368,90.997696
369,91.15158
370,91.30375
371,91.44915
372,91.5885
373,91.71865
374,91.839264
375,91.9494
376,92.04964
377,92.135925
378,92.21912
379,92.289116
380,92.35859
381,92.41965
382,92.49127
383,92.566864
384,92.64604
385,92.74137
386,92.84691
387,92.96782
388,93.11521
389,93.285576
390,93.47755
391,93.70315
392,93.95217
393,94.23092
394,94.51669
395,94.80988
396,95.107
397,95.39768
398,95.68835
399,95.96767
400,96.24389
401,96.50151
402,96.75083
403,96.983665
404,97.212944
405,97.421486
406,97.63413
407,97.840096
408,98.049385
409,98.22676
410,98.41125
411,98.60099
412,98.798515
413,99.000694
414,99.20901
415,99.432915
416,99.65716
417,99.89491
418,100.12788
419,100.35389
420,100.5743
421,100.78255
422,100.978355
423,101.1612
424,101.337875
425,101.50367
426,101.67421
427,101.82873
428,101.9815
429,102.11505
430,102.2574
431,102.39939
432,102.547585
433,102.70397
434,102.86657
435,103.03749
436,103.219574
437,103.40388
438,103.5969
439,103.80594
440,104.01789
441,104.23778
442,104.446976
443,104.646996
444,104.83318
445,105.00308
446,105.16077
447,105.30186
448,105.42828
449,105.542915
450,105.6498
451,105.74208
452,105.829216
453,105.90056
454,105.96769
455,106.0274
456,106.10037
457,106.18331
458,106.28031
459,106.39453
460,106.51931
461,106.651634
462,106.79415
463,106.94741
464,107.10438
465,107.27139
466,107.43686
467,107.59743
468,107.748726
469,107.88815
470,108.0231
471,108.15862
472,108.2921
473,108.4215
474,108.54924
475,108.669304
476,108.7902
477,108.89871
478,109.01287
479,109.12537
480,109.237686
481,109.35247
482,109.47537
483,109.60705
484,109.73887
485,109.88339
486,110.065605
487,110.28073
488,110.501015
489,110.723206
490,110.95494
491,111.18596
492,111.411964
493,111.63636
494,111.865166
